Brand_ID,Brand,Owner,Ownership Type,Notes
413,Podium,"Mat Fraser, Heber Cannon and Marston Sawyers (aka the “Buttery Bros”), Paul Haverland ",Founder owned,"Mat Fraser is an effing legend, whether you love or hate crossfit, I dare you to hate Mat. This company was founded out of crossfit- with crossfit style training in mind (IE all around fitness)"
414,Polly-O,Auricchio family (Bel Gioioso),Family owned,
415,Ponds,Unilever,Megacorp,
416,Portlandia Foods,Jeff Bergadine & Michael Deal,Founder owned,
417,Powerade,Coca-cola,Megacorp,
418,Prego,Campbell's Soup Company,Mega Corporation,"Mary Alice Dorrance Malone(descendent of founder) still has largest stake in the company despite it being corporate
"
419,Premier Protein,Post,Megacorp,
420,Premium Saltines,Nabisco,Megacorporation,
421,Prime,Congo Brands,Private Equity,Founded via Congo Brands by Logan Paul and KSI- YouTube celebrities. Judge the brand accordingly.
422,Propel,Pepsico,Megacorp,
423,Puffins,Post,Megacorp,
424,Puffs,Procter & Gamble,Megacorp,
425,Pull Ups,Kimberly-Clark,Megacorporation,These are just Huggies with a different packaging
426,Puracy,Branded Group,Private Equity,
427,Pure Zero,JM brands,Private Equity,
428,Quaker Oats,PepsiCo,Megacorp,
429,Quilted Northern,Koch Industries,Megacorp,The Koch family megacorp- this is through their ownership of Georgia Pacific LLC
430,Rael,,Female Founder owned,Three Kool Korean-American ladies. Legit.
431,Ragu,Mizkan Group,Mega Corporation,Based in Japan
432,Rainforest Coffee Co.,Nick Keller,Founder owned,"Partnered with this this channel- Follow this afilliate link to support my channel with a portion of proceeds and use code cancelthisclothingcompany for $5 off any order. A portion of all proceeds go to rainforest rehabilitation and all coffee is organic, pesticide free, small batch roasted to order."
433,Raisin Bran,Kellogg's,Megacorp,
434,Raisin Nut Bran,General Mills,Megacorp,
435,Raos,Campbell's Soup Company,Mega Corporation,"Mary Alice Dorrance Malone(descendent of founder) still has largest stake in the company despite it being corporate
"
436,Raw Sugar,Donda Mullis & Ronnie Shugar,Founder Family Owned,
437,Raz Baby,Aida and Lidia,Female Founder owned,Sisters founded in 2002
438,Red Barron,Schwan's Consumer Brands,CJ CheilJedang,"CJ CheilJedang is a South Korean international food, pharmaceutical, and biotechnology company..."
439,Red Bull,Mateschitz & Yoovidhya families,Family owned,I don't know what to make of this
440,Reese's,The Hershey Company,Megacorp,
441,Reeses Puffs,General Mills,Megacorp,
442,Rein,Coca-Cola,Megacorp,
443,Renpure,MAV ,Private equity/insider controlled corporation,
444,Revolution,Boohoo is largest shareholder,Corporation (maybe mega?),
445,Rhyme & Reason,SLG brands,Private Equity,Founded by Miles Dunkley
446,Rice Krispies,Kellogg's,Megacorp,
447,Ricitos de Oro,Grisi,Megacorporation,"Mystery Mexican megacorp. Big, opaque, hard to tell what they're up to. Doesn't seem great. Obviously just targetting Spanish speaking market"
448,Right Guard,Thriving Brands,Private Equity,Private Equity purchased in 2021 from Henkel
449,Ritz,Mondelez International,Megacorporation,
450,Rizos curls,Julissa Prado,Female Founder owned,
451,Roca,Brown & Haley,Family Owned,Fifth generation family owned since 1940's
452,Rockstar,Pepsico,Megacorp,
453,Rolo,The Hershey Company,Megacorp,
454,Roma,Bernatello's Foods,Ramsay Family,
455,Ruffles,PepsiCo,Megacorp,
456,Rumiano,Rumiano family,Family owned,
457,RW Knudsen,Smuckers,Megacorp,
458,Ryse,Noelle Deysel & Nic Stella,Founder owned,"Awesome guys, legit AF. Support them."
459,Sailor Boy,George Weston Limited,Private Equity,
460,Saltair,Iskra Laurence,Influencer founder owned- PE backed,
461,Santa Cruz Organic,Smuckers,Megacorp,
462,Sargento,Gentine family,Family owned,
463,Schmidt's,Unilever,Megacorp,
464,Scott,Kimberly-Clark,Megacorp,
465,Screamin Sicillian,Fallucca Family,Family owned,Gives a darn about mustaches. Hell yeah.
466,Sea Breeze,Shiseido,Megacorp,Based in Japan
467,Seattle's Best,Nestle,Megacorp,
468,Sebastian Professional,Coty- JAB holding company,Mega corporation,
469,Secret,Procter & Gamble,Megacorp,
470,Sensodyne,GSK + Pfizer,Megacorp,
471,Serenity,Serenity & Joe Carr,Family owned,
472,Sesmark,TH Foods Inc.,Privately owned,Ownership has passed around over the years. Used to be controlled by Mitsubishi
473,Sexy Hair,Henkel,Mega corporation,
474,SGX NYC,Tengram Capital Partners,Private Equity,
475,shea moisture,Unilever,Mega corporation,
476,Shea Moisture Baby,Unilever,Megacorporation,
477,Shredded Wheat,Post,Megacorp,
478,Sigdal,United Bakeries Group,Megacorporation,"Complex ownership structure. I think leads up to Agrofert, a European conglomerate."
479,Signature Select,Albertson's,Megacorporation,
480,Similac,Abbott Labs,Megacorporation,Involved in the same lawsuit about NEC
481,Simple,Unilever,Megacorp,
482,Simple Mills,Katlin Smith,Female Founder owned,Started this company in her early twenties.
483,Simple Truth,Kroger,Mega Corporation,
484,Skittles,Mars,Megacorp,
485,Sky Organics,Dean & Steven Neiger,Founder led,Private equity backed by Nexus Capital Management. Unclear what ownership stake they took.
486,Smart Bran,Nature's Path,Founder Family Owned,
487,Smart Start,Kellogg's,Megacorp,
488,Smartfood Popcorn,PepsiCo,Megacorp,
489,Smarties,The Dee Family,Family owned,Run by the three granddaughters of the founder. So cool!
490,Smartwater,Coca-cola,Megacorp,
491,Snickers,Mars,Megacorp,
492,Snoop Cereal,Post,Megacorp,
493,Snyder's Pretzels,Campbells Soup,Megacorp,
494,Sonoma Creamery,Atalanta Corporation,Megacorporation,"Technically a private company, but its a big ole monster."
495,South of the Border Chips,Utz Brands,Megacorp,
496,Sparkle,Koch Industries,Megacorp,The Koch family megacorp- this is through their ownership of Georgia Pacific LLC
497,Special K,Kellogg's,Megacorp,
498,Speed Stick,Colgate-Palmolive,Megacorp,
499,Sprout Organics,Neptune Wellness Solutions,Megacorp,
500,Sriracha,Huy Fong Foods,Family owned,Tran family owned. Cool origin story
501,St Ives,Unilever,Megacorp,
502,Starbucks,Starbucks,Megacorp,
503,Stay Free,Energizer,Megacorp,
504,Steinfelds,Treehouse Foods,Megacorporation,Via Bay Valley Foods
505,Stouffer's,Nestle,Megacorp,
506,Stub's BBQ,McCormick,Megacorp,
507,Suave,Unilever,Mega corporation,
508,Sun Bum,SC Johnson & co,Mega corporation,
509,Sun Chips,PepsiCo,Megacorp,
510,Sunkist,Co-op,Farmer's Co-op,
511,Sweet Baby Ray's,Ken's Foods,Family owned,
512,Sweet Dreams,Post,Megacorp,
513,Sweet Home Farm,Post,Megacorp,
514,Tabasco,,Family owned,
515,Takis,Grupo Bimbo,Megacorp,
516,Talenti,Unilever,Megacorp,
517,Tampax,Procter & Gamble,Megacorp,
518,Tazo,CVC Capital Partners,Private Equity,Bought from Unilever in 2022
519,Teavana,Starbucks,Megacorp,
520,Tetley,Tata consumer products,Megacorp,"Largest tea company in the UK and Canada, second largest in US"
521,TGIN,Chris-Tia Donaldson,Female Founder owned,
522,The Doux,Maya Smith,Female Founder owned,
523,The FLEX Company,Lauren Scholte Wang,Female Founder owned,"Disks, cups, etc."
524,The Honey Pot Company,Beatrice Dixon,Female Founder and Family Owned,There was controversy over an ingredient change. The company was not sold or taken over
525,The Silver Palate,Peter Harris,Privately owned,Peter Harris purchased from the founders. He did not found it.
526,Theo,American Licorice Company,Privately owned,"In the process of merging with ALC as of mid 2023. ALC is technically family owned, but as they are a bigger conglomerate- I have marked Theo as now privately owned."
527,This is L.,Procter & Gamble,Megacorp,
528,Tillamook,Co-op,Farmer's Co-op,
529,Tim Horton's,Restaurant Brands International,Megacorp,"Also own Burger King, Popeyes and Firehouse Subs."
530,Tim's Chips,Utz Brands,Megacorp,
531,Tiny Organics,"Sofia Laurell, Betsy Fore, Carolyn O'hare",Female Founder owned,Big on subscription model
532,Tom's of Maine,Colgate-Palmolive,Megacorp,
533,Tombstone,Nestle,Megacorp,
534,Toms of Maine,Colgate Palmolive,Megacorp,
535,Tony's,Schwan's Consumer Brands,CJ CheilJedang,"CJ CheilJedang is a South Korean international food, pharmaceutical, and biotechnology company..."
536,Tony's Chocolonely,Henk Jan Beltman,Founder owned,"Minority stakes taken by Verlinvest and JamJar, both private equity partners."
537,Tootsie Roll,Tootsie Roll Industries,Megacorp,Ellen R. Gordon (no relation to founder) is CEO and largest shareholder with about 40% of shares. She's a billionaire off of this 
538,Tostitos,PepsiCo,Megacorp,
539,Total,General Mills,Megacorp,
540,Totinos,General Mills,Megacorp,
541,Town House,Kellanova,Megacorporation,
542,TPH,Taraji P Henson,Female Founder owned,
543,Traditional Medicinals,Sadler Family,Family owned,
544,Tree Top,Co-op,Farmer's Co-op,
545,TreSemme,Unilever,Mega corporation,
546,Triscuit,Mondelez International,Megacorporation,
547,Trix,General Mills,Megacorp,
548,Truleaf Tea,Pepsico,Megacorp,
549,Tully's Coffee,JAB Holding Company,Megacorp,Owned via Keurig Dr. Pepper
550,Twice Oral Wellness,Lenny Kravitz & Julian & Cody Levine,Founder owned,
551,Twinnings,Associated British Foods,Megacorp,
552,Twix,Mars,Megacorp,
553,U by Kotex,Kimberly-Clark,Megacorp,
554,Umpqua,Feldkamp family,Family owned,
555,Uncle Funky's Daughter,Renee Morris,Female bought and owned!,Homegirl literally just bought the company outright with her own pocket money.
556,Uncle Sam,Post,Megacorp,
557,Unique Snacks,Unique Snacks,Family Owned,
558,Unreal,The Bronner Family,Family owned,Apparently started by two teenaged brothers and their father... so... by their father using them as a backstory??? haha... idk.
559,Urban Hydration,Psyche Terry,Female Founder owned,
560,V8,Campbell's Soup,Megacorp,
561,Vaseline,Unilever,Megacorporation,
562,Vega,WM Partners,Private Equity,Was founded by Danone- sold in 2021 to WM
563,Vicks,Procter & Gamble and Helen of Troy,Mega Corporation,
564,Vinta,Dare foods,Family owned,I guess Dare is a family owned conglomerate at this point.
565,Vita Coco,sketchy,complicated,I think they're in the process of getting bought out by Anheuser Busch
566,Vitafusion,Church & Dwight,Mega Corporation,
567,Viva,Kimberly-Clark,Megacorp,
568,Viviscal,Church & Dwight,Mega corporation,
569,Vlasic,Conagra Brands,Megacorporation,
570,Waffle Crisp,Post,Megacorp,
571,Walden's Farms dressing,HKW,Private Equity,
572,Wasa,Barilla,Megacorporation,
573,Weetabix,Post,Megacorp,
574,Welch's,Co-op,Farmer's Co-op,
575,Wheeties,General Mills,Megacorp,
576,Wicked BOLD chocolate ,Deric Cahill & Brooklynn Cahill,Family founder owned!,"Follow this affiliate link to purcahse directly from this family owned brand and support my channel at the same time! Use the coupon code cancelthisclothingcompany for 10% off your order as well! Everybody wins. Supporting small businesses and my channel through these affiliate links means a lot to me and the family owned businesses I promote, so thank you for your support. "
577,Wild Mikes,Piazza family,Family owned,Has a children's charity foundation similar to Newman's Own
578,Wishbone,Unilever,Megacorp,
579,Would,David Portnoy,Founder owned,"This one's weird. Would is owned by Barstool Brands (like Barstool sports) and Potnoy apparently sold it to Penn entertainment, and then they have sold it back to Portnoy as of 2023 I believe..."
580,Xtend,Doss Cunningham with megacorp backing,Megacorp backed,Owned by Nutrabolt
581,Yerbae,Juste went public,Megacorp,Likely going to get short sold and crushed and then bought out by a big competitor for pennies on the dollar if you ask me
582,Yogi,"Drew Sutherland, David Cooper, and Glenn Baginski",Founder owned,Owned via East West Tea Company
583,York Peppermint,The Hershey Company,,
584,Yuban,Kraft Heinz,Megacorp,
585,Yumi,Angela Sutherland & Evelyn Rusli,Female Founder owned,
586,Zarbees,Johnson & Johnson,Megacorporation,Owned by Kenvue whic is owned by J&J
587,Zesta,Kellanova,Megacorporation,
